Iteration,QD-Score,Coverage,Maximum,Average
1,58815.53717434406,0.0752,444.35956115722655,312.8486019911918
2,75705.53990294933,0.0772,649.3270649433136,392.2566834349706
3,96189.34162968397,0.0808,983.4314106702805,476.18485955289094
4,125700.68799743653,0.0828,1846.8874061822892,607.2497004707079
5,177297.14090049267,0.088,3624.400926280022,805.8960950022393
6,210866.0326930046,0.09,5610.947732138634,937.182367524465
7,242086.95892009736,0.092,6551.048049473762,1052.551995304771
8,263827.9276913643,0.0932,7173.137770056725,1132.3087025380441
9,279907.5422987938,0.094,7510.422889494896,1191.0959246757184
10,280938.4503253937,0.094,7803.580455803871,1195.482767342101
11,309393.13699290756,0.0956,8082.917620015144,1294.5319539452198
12,311212.035460496,0.0956,8304.89913032055,1302.142407784502
13,313944.14105265145,0.0956,8492.821955776215,1313.5738119357802
14,342725.2160059691,0.0972,8548.870078611373,1410.3918354155107
15,366518.74430449016,0.0984,8773.396684098243,1489.9135947337
16,366947.9932759524,0.0984,8796.188657689094,1491.658509251839
17,367306.3458621026,0.0984,8943.515747261048,1493.1152270817179
18,385371.8504661799,0.0992,9026.10670917034,1553.9187518797576
19,401358.3741058827,0.1,9070.899560832977,1605.4334964235309
20,418934.2208984853,0.1008,9097.994220995903,1662.4373845177988
21,438654.51413428795,0.1016,9112.356803131104,1726.986276119244
22,464345.1865714551,0.1028,9165.654322266579,1806.7906092274518
23,487240.5913118125,0.104,9165.654322266579,1874.002274276202
24,513214.2265388967,0.1052,9165.654322266579,1951.384891782877
25,546316.5494735481,0.1068,9165.654322266579,2046.1293987773336
26,567798.3859728576,0.108,9165.654322266579,2102.956985084658
27,599813.9237487793,0.1096,9165.654322266579,2189.1019114918954
28,623018.2157078505,0.1108,9165.654322266579,2249.1632336023486
29,705370.0113566399,0.1164,9165.654322266579,2423.951929060618
30,782878.2150789738,0.122,9165.654322266579,2566.8138199310615
31,843899.5188920617,0.1276,9165.654322266579,2645.45303727919
