Iteration,QD-Score,Coverage,Maximum,Average
1,-25505.153719289672,0.0053,-133.74423617522697,-481.2293154582957
2,-21153.091088244673,0.0062,-51.212296028621495,-341.17888852007536
3,-20543.9098541827,0.007,-28.253499259380625,-293.4844264883243
4,-19527.21811648762,0.0075,-12.432070888020098,-260.36290821983494
5,-19503.804588494368,0.0082,-3.4269490044098347,-237.85127546944352
6,-19386.860709085548,0.0087,14.09652372309938,-222.8374794147764
7,-19428.92157806103,0.0091,22.058958631940186,-213.50463272594536
8,-19114.567516390696,0.0094,44.191897388000505,-203.34646294032655
9,-18228.878353793938,0.0097,95.93424690540414,-187.92658096694782
10,-17342.78345330258,0.01,162.27235357612372,-173.42783453302582
11,-16507.327735308823,0.0103,229.754915791878,-160.26531781853225
12,-15910.703940750336,0.0103,363.1985814631451,-154.4728537936926
13,-13515.54925029556,0.0105,372.20046074304264,-128.71951666948152
14,-12962.969052805734,0.0105,411.87403961922394,-123.45684812195938
15,-12343.540793623017,0.0106,411.87403961922394,-116.44849805304733
16,-10549.764748178673,0.0107,488.41414614597454,-98.59593222596891
17,-10111.533011473046,0.0107,549.3594580392586,-94.50030851843968
18,-9527.971108121266,0.0108,549.3594580392586,-88.22195470482654
19,-9130.325912561082,0.0108,591.6842452195473,-84.54005474593595
20,-7664.423928304581,0.0108,591.6842452195473,-70.96688822504241
21,-6807.160057702593,0.0108,628.4258812734857,-63.02925979354253
22,-5549.086845011669,0.0109,817.9319790852605,-50.90905362396026
23,-4167.886924810717,0.0109,817.9319790852605,-38.2374947230341
24,-2603.948651781795,0.011,817.9319790852605,-23.67226047074359
25,-876.9869227230988,0.0112,817.9319790852605,-7.83024038145624
26,1213.47481432124,0.0114,817.9319790852605,10.644515915098596
27,2277.401749355934,0.0114,817.9319790852605,19.97720832768363
28,6705.678848214101,0.0115,853.7295761822606,58.31025085403566
29,9826.023732916748,0.0115,853.7295761822606,85.44368463405868
30,13731.119521615243,0.0116,853.7295761822606,118.3717200139245
31,31418.336859616305,0.0133,884.9639233822236,236.2280966888444
32,33384.971048582986,0.0134,884.9639233822236,249.14157498942527
33,36304.297844939705,0.0137,907.2902475846698,264.99487478058177
34,43391.11522818244,0.0149,907.2902475846698,291.21553844417747
35,47094.44088867568,0.0151,954.7480079459958,311.8837144945409
36,64810.260697345286,0.0172,980.5660576572642,376.8038412636354
37,69995.04594097666,0.0175,991.49034644044,399.9716910912952
38,80530.66979585923,0.0187,1075.5407885896159,430.64529302598515
39,83951.83961403892,0.0188,1075.5407885896159,446.55233837254747
40,100184.83675928747,0.0208,1098.1882668801468,481.6578690350359
41,105240.61344433686,0.0212,1098.1882668801468,496.4179879449852
42,123798.09742667842,0.0234,1098.1882668801468,529.0516984046086
43,133598.20250414792,0.0246,1099.2623258827487,543.0821240006013
44,145654.0772490644,0.0255,1099.2623258827487,571.1924598002525
45,175714.36501111838,0.0292,1099.2623258827487,601.7615240106794
46,216428.30137387107,0.0342,1099.2623258827487,632.8312905668745
47,228659.87656807344,0.0355,1120.9859758132138,644.1123283607702
48,275359.01876238646,0.0416,1120.9859758132138,661.9207181788136
49,284826.57419044455,0.0423,1120.9859758132138,673.3488751547152
50,290105.9188406547,0.043,1120.9859758132138,674.6649275364064
51,310249.68794431555,0.0451,1120.9859758132138,687.9150508743138
52,346155.8574238813,0.0504,1120.9859758132138,686.8171774283359
53,352514.8834774442,0.051,1120.9859758132138,691.2056538773415
54,353279.6279576224,0.0511,1120.9859758132138,691.3495654747992
55,390835.57772767585,0.0578,1120.9859758132138,676.1861206361174
56,392364.7239923197,0.0627,1120.9859758132138,625.781058998915
57,424929.7171773787,0.068,1120.9859758132138,624.8966429079098
58,424313.47308300744,0.0685,1120.9859758132138,619.435727128478
59,444745.8424110105,0.0704,1120.9859758132138,631.7412534247309
60,461648.6510461329,0.0723,1120.9859758132138,638.518189552051
61,484777.7889682352,0.0745,1135.1578121877042,650.708441568101
62,504689.3603773841,0.0766,1135.1578121877042,658.8633947485432
63,520888.5559546842,0.0773,1135.1578121877042,673.8532418559951
64,545589.7114975008,0.08,1135.1578121877042,681.987139371876
65,555488.0017756375,0.0802,1160.904273278918,692.6284311416927
66,566266.8845379696,0.081,1169.5574317959836,699.0949191826785
67,586807.3802995711,0.0825,1169.5574317959836,711.2816730903892
68,609469.4485572253,0.0842,1169.5574317959836,723.8354495929042
69,623423.0556772265,0.0853,1169.5574317959836,730.8593853191401
70,632110.2782257315,0.0859,1193.5187718707834,735.8676114385698
71,655621.7725087346,0.088,1308.4524002249586,745.0247414871984
72,660387.8906140396,0.0884,1308.4524002249586,747.0451251290041
73,677333.5211645381,0.0894,1308.4524002249586,757.6437596918771
74,689032.0404676974,0.0902,1308.4524002249586,763.8936147091989
75,707535.7375803266,0.0921,1308.4524002249586,768.2255565475859
76,716493.7357756589,0.093,1308.4524002249586,770.4233718017837
77,742740.9902550946,0.0956,1308.4524002249586,776.9257220241575
78,761977.1405897748,0.0973,1308.4524002249586,783.121418900077
79,794066.5802199756,0.1007,1308.4524002249586,788.5467529493302
80,814148.3340257702,0.1027,1308.4524002249586,792.7442395577119
81,825553.2968269578,0.104,1308.4524002249586,793.8012469489979
82,837671.3398642383,0.1053,1308.4524002249586,795.5093446004162
83,867818.8130123981,0.1089,1308.4524002249586,796.8951450986208
84,883085.6756762968,0.1106,1308.4524002249586,798.4499780075016
85,917014.261612661,0.1143,1308.4524002249586,802.2871930119518
86,933400.912402556,0.1161,1308.4524002249586,803.9628875129682
87,975702.1496825073,0.1208,1308.4524002249586,807.7004550351882
88,995262.2278056578,0.1228,1308.4524002249586,810.4741268775715
89,1016730.1314516503,0.1251,1308.4524002249586,812.7339180268987
