Iteration,QD-Score,Coverage,Maximum,Average
1,-3819.2726363664497,0.0264,162.08711110949517,-57.86776721767348
2,15595.758257882855,0.0304,848.4209292639047,205.2073454984586
3,64217.42303746807,0.0384,2136.9890558712186,668.9314899736257
4,146893.93818632307,0.0476,3851.697733762115,1234.4028419018746
5,159047.58293253352,0.0476,4849.482139131427,1336.5343103574246
6,169188.1130330464,0.0476,5802.079364970326,1421.7488490171966
7,188284.666156419,0.0476,6489.809710542858,1582.224085348059
8,194263.1323653901,0.0476,6953.446579949557,1632.4632971881522
9,200297.6581559168,0.0476,7047.19287185669,1683.1735979488808
10,217947.3301997902,0.048,7332.430558954179,1816.2277516649183
11,222152.13279668632,0.048,7611.599830789864,1851.2677733057194
12,223367.6736360887,0.048,7854.129734286666,1861.397280300739
13,247778.3566080982,0.0492,8016.528913708031,2014.4581838056763
14,248667.83402990794,0.0492,8052.308395709842,2021.6897075602271
15,249499.03700275815,0.0492,8375.248941513895,2028.4474553069767
16,251633.29425102196,0.0492,8386.257247200609,2045.7991402522111
17,252282.56372773595,0.0492,8463.500638674199,2051.077753884032
18,253805.63550229542,0.0492,8646.76741092801,2063.4604512381743
19,267554.09623069636,0.0492,8646.76741092801,2175.236554721109
20,268074.16288377665,0.0492,8771.087263309955,2179.464738892493
21,268326.9416738684,0.0492,8771.087263309955,2181.51985100706
22,269045.339558013,0.0492,8779.042260943354,2187.360484211488
23,269443.02743322274,0.0492,8813.761780777573,2190.5937189692904
24,278000.2579303803,0.0496,8813.761780777573,2241.9375639546797
25,278962.8911263125,0.0496,9169.402429406346,2249.700734889617
26,279417.93457208667,0.0496,9169.402429406346,2253.370440097473
27,280002.8316767389,0.0496,9169.402429406346,2258.0873522317656
28,280655.90144234616,0.0496,9169.402429406346,2263.3540438898885
29,280854.01014811266,0.0496,9207.965445534885,2264.951694742844
30,281372.72091230995,0.0496,9297.59433697015,2269.1348460670156
31,281425.4571128944,0.0496,9297.59433697015,2269.560138007213
