Iteration,QD-Score,Coverage,Maximum,Average
1,62961.991688489914,0.0816,413.04263255596163,308.63721415926426
2,76932.65304665566,0.0848,597.9333027124405,362.8898728615833
3,88510.1593749404,0.0852,865.4928105592728,415.5406543424432
4,111792.10371840002,0.0888,1436.9376386880874,503.56803476756767
5,130076.2443343878,0.0908,2183.603709411621,573.0231027946598
6,166237.6868381262,0.094,4191.21013019085,707.3944120771328
7,186897.50199697018,0.094,5512.8079627275465,795.3085191360433
8,223401.8612447977,0.0964,6212.774475955963,926.9786773643058
9,261286.38039989473,0.0992,6706.357542943954,1053.5741145157047
10,276032.5799655199,0.1,7048.124711799622,1104.1303198620797
11,298329.4099927902,0.1012,7245.819445490837,1179.1676284300008
12,307897.94360480306,0.1016,7593.346033525467,1212.1966283653665
13,310034.79329266545,0.1016,7729.609463834762,1220.6094224120686
14,311339.7214186668,0.1016,7920.561177659035,1225.7469347191607
15,329450.1327702284,0.1024,8004.3578671216965,1286.9145811337046
16,329817.8614416599,0.1024,8122.68111717701,1288.351021256484
17,367046.76940581796,0.1044,8282.874871325494,1406.309461324973
18,369294.1337295055,0.1044,8411.591389083862,1414.9200526034695
19,370754.95870008465,0.1044,8589.288353943824,1420.5170831420867
20,371468.1781685829,0.1044,8594.637000179291,1423.2497247838426
21,372020.91894578934,0.1044,8732.283887815476,1425.3675055394228
22,389237.92406420707,0.1052,8824.962094759941,1479.9921067080118
23,390852.72722582816,0.1052,8873.494510006905,1486.1320426837572
24,408204.32278068067,0.106,8891.45548467636,1540.393670870493
25,448144.509016943,0.108,8891.45548467636,1659.7944778405297
26,448422.6255592823,0.108,8947.74443268776,1660.824539108453
27,474152.46541469096,0.1092,8980.40373878479,1736.8222176362306
28,482852.1451359033,0.1096,9007.59632461071,1762.2341063354136
29,483181.97470722196,0.1096,9072.627577233314,1763.4378638949706
30,510027.39295039175,0.1108,9085.414631199837,1841.2541261746994
31,518375.8243555784,0.1112,9121.441589617729,1864.6612386891309
32,533915.0216090918,0.112,9145.258589482308,1906.8393628896135
33,557953.0661985636,0.1132,9145.258589482308,1971.5656049419206
34,574650.676735878,0.114,9145.258589482308,2016.3181639855368
35,583923.5070536375,0.1144,9145.258589482308,2041.6905841036278
36,592545.8139096737,0.1148,9145.258589482308,2064.619560660884
37,609069.6044634223,0.1156,9145.258589482308,2107.507281880354
38,632878.2507458568,0.1168,9145.258589482308,2167.391269677592
39,674696.4019373059,0.1192,9145.258589482308,2264.0818856956575
40,732913.2582746148,0.1232,9145.258589482308,2379.5885008916066
41,791725.3960330605,0.1276,9145.258589482308,2481.897793207086
42,825977.3421781182,0.1296,9145.258589482308,2549.3127845003646
43,912880.5620283961,0.132,9145.258589482308,2766.304733419382
44,944314.6257450461,0.132,9145.258589482308,2861.5594719546853
45,985085.5982900261,0.1328,9145.258589482308,2967.125296054295
46,1015629.3354025482,0.1344,9145.258589482308,3022.7063553647267
47,1061098.2349054932,0.138,9145.258589482308,3075.647057697082
48,1065142.432598388,0.138,9145.258589482308,3087.3693698504003
49,1085792.3979559778,0.138,9145.258589482308,3147.224341901385
50,1110644.0297729135,0.138,9145.258589482308,3219.258057312793
51,1155858.2161597135,0.1384,9145.258589482308,3340.6306825425245
52,1205183.149129069,0.1412,9145.258589482308,3414.1165697707333
53,1228266.5686519505,0.1428,9145.258589482308,3440.5226012659678
54,1246782.378605497,0.144,9145.258589482308,3463.2843850152694
55,1253389.9665143373,0.1444,9145.258589482308,3471.9943670757266
56,1253389.9665143373,0.1444,9145.258589482308,3471.9943670757266
57,1253389.9665143373,0.1444,9145.258589482308,3471.9943670757266
58,1253389.9665143373,0.1444,9145.258589482308,3471.9943670757266
59,1256032.8228823903,0.1452,9145.258589482308,3460.1455175823426
60,1257905.223723221,0.1452,9145.258589482308,3465.303646620444
61,1259540.104782987,0.1452,9145.258589482308,3469.8074511928016
62,1260375.8383660081,0.1452,9145.258589482308,3472.1097475647607
63,1260375.8383660081,0.1452,9145.258589482308,3472.1097475647607
