Iteration,QD-Score,Coverage,Maximum,Average
1,14185.187081970938,0.0196,402.6477872930467,289.49361391777427
2,28555.35266207427,0.0364,402.6477872930467,313.7950841986184
3,45725.06415470518,0.0816,465.8462960446253,224.14247134659402
4,60591.418592026355,0.092,948.5743368119001,263.4409504001146
5,68093.70009705084,0.0968,1042.0655770659446,281.37892602087123
6,69928.4050487082,0.0976,1042.0655770659446,286.59182397011557
7,77454.55230728745,0.1004,1042.0655770659446,308.58387373421294
8,85846.05888933371,0.1056,1042.0655770659446,325.1744654899004
9,96726.61789479747,0.1144,1042.0655770659446,338.20495767411705
10,97946.5194932957,0.1152,1042.0655770659446,340.0920815739434
11,99452.65304194069,0.1164,1042.0655770659446,341.7616943022017
12,99809.89617110169,0.1168,1042.0655770659446,341.8147129147318
13,102129.44217572844,0.1192,1042.0655770659446,342.7162489118404
14,102139.63965911008,0.1192,1042.0655770659446,342.75046865473183
15,102205.58090095258,0.1192,1042.0655770659446,342.97174798977375
16,103473.25774729587,0.1204,1042.0655770659446,343.7649759046374
17,103503.86692646779,0.1204,1042.0655770659446,343.8666675297933
18,103713.24800211526,0.1204,1042.0655770659446,344.5622857213132
19,104884.14906053281,0.1216,1042.0655770659446,345.0136482254369
20,107503.67359432678,0.124,1042.0655770659446,346.78604385266704
21,110668.91020711977,0.1268,1042.0655770659446,349.11328141047244
22,111183.1696103247,0.1272,1042.0655770659446,349.63260883749905
23,111200.54507819434,0.1272,1042.0655770659446,349.68724867356707
24,111319.75240389128,0.1272,1042.0655770659446,350.06211447764554
25,113118.89503152092,0.1288,1042.0655770659446,351.3009162469594
26,113174.46240430196,0.1288,1042.0655770659446,351.4734857276458
27,113188.94179443737,0.1288,1042.0655770659446,351.5184527777558
28,113674.79796004316,0.1292,1042.0655770659446,351.93435900942154
29,113832.93675655744,0.1292,1042.0655770659446,352.4239528066794
30,114066.84613062462,0.1292,1042.0655770659446,353.1481304353703
31,114812.0993479761,0.1296,1042.0655770659446,354.35833132091386
32,116526.26632420441,0.1308,1042.0655770659446,356.34943830031926
33,120915.06781292876,0.1344,1042.0655770659446,359.86627325276413
34,120950.2207539593,0.1344,1042.0655770659446,359.97089510106935
35,121450.10227663006,0.1344,1042.0655770659446,361.45863772806564
36,128391.50180563833,0.14,1042.0655770659446,366.8328623018238
37,133230.42310397423,0.1432,1042.0655770659446,372.1520198435034
38,134005.14541845422,0.1436,1042.0655770659446,373.27338556672487
39,139452.456004436,0.1476,1042.0655770659446,377.9199349713713
40,143635.413295267,0.1496,1042.0655770659446,384.05190720659624
41,151227.16969862746,0.1524,1064.44646770861,396.92170524574135
42,153761.2917529958,0.1524,1064.44646770861,403.5729442335848
43,165187.4739837805,0.1556,1067.1719771075063,424.6464626832404
44,177116.4688402592,0.1592,1127.6963554665447,445.0162533674854
45,188420.649488527,0.1644,1128.9606586113573,458.4444026484842
46,197569.77171366545,0.17,1128.9606586113573,464.87005109097754
47,206785.83585188925,0.1752,1128.9606586113573,472.1137804837654
48,219913.43959172396,0.1776,1322.4514244019986,495.3005396209999
49,240527.94451118747,0.1796,1347.3084198191762,535.6969810939587
50,246151.55300990792,0.1804,1481.2667821913958,545.7905831705275
51,247636.70108424875,0.1808,1481.2667821913958,547.868807708515
52,249369.7423323855,0.1812,1619.377620112896,550.485082411447
53,250917.95324266405,0.1816,1700.2472237706183,552.6827163935332
54,256827.70760494025,0.1828,1917.0803092181682,561.9862310830202
55,260664.01994558724,0.1836,1941.8779399633409,567.8954682910397
56,260826.34432040603,0.1836,1983.615556794405,568.2491161664619
57,265063.4173550442,0.1844,2119.7195639312267,574.974874956712
58,265119.52368531976,0.1844,2155.5501764953137,575.0965806622988
59,267322.9422723845,0.1848,2155.5501764953137,578.6210871696634
60,273960.0663653197,0.1864,2155.5501764953137,587.8971381230036
61,281703.1535344508,0.188,2155.5501764953137,599.3684117754273
62,282737.56830684893,0.188,2155.5501764953137,601.5692942698913
63,285769.0859451711,0.188,2155.5501764953137,608.0193317982363
64,285916.20025996736,0.188,2155.5501764953137,608.332340978654
65,285916.20025996736,0.188,2155.5501764953137,608.332340978654
66,285952.09046855144,0.188,2155.5501764953137,608.4087031245775
67,286124.7191467576,0.188,2155.5501764953137,608.7759981845907
68,286410.00909285474,0.188,2155.5501764953137,609.3829980699037
69,289399.59747780685,0.188,2155.5501764953137,615.7438244208656
70,289416.8317526889,0.188,2155.5501764953137,615.7804930908275
71,290079.2562627425,0.1912,2155.5501764953137,606.8603687505073
72,293181.128447874,0.1912,2155.5501764953137,613.3496411043388
73,294592.37429143215,0.1912,2155.5501764953137,616.3020382665944
74,294964.0244664433,0.1912,2155.5501764953137,617.0795490929776
75,296280.72664099745,0.1912,2155.5501764953137,619.8341561527143
76,296628.4701333862,0.1912,2155.5501764953137,620.5616529987159
77,297927.1920354207,0.1912,2155.5501764953137,623.2786444255663
78,300357.98960934475,0.1924,2155.5501764953137,624.4448848427126
79,303721.74165182305,0.1932,2155.5501764953137,628.8234816807931
80,318201.53646609595,0.1952,2155.5501764953137,652.0523288239671
81,322840.7321063754,0.1952,2155.5501764953137,661.5588772671626
82,325211.5946168855,0.1952,2155.5501764953137,666.4172020837817
83,325673.4299413836,0.1952,2155.5501764953137,667.3635859454582
84,325673.4299413836,0.1952,2155.5501764953137,667.3635859454582
85,325673.4299413836,0.1952,2155.5501764953137,667.3635859454582
86,326125.81816604896,0.1956,2155.5501764953137,666.9239635297524
87,328260.78676442296,0.196,2155.5501764953137,669.9199729886183
88,330088.4610122124,0.1984,2155.5501764953137,665.5009294601056
89,330088.4610122124,0.1984,2155.5501764953137,665.5009294601056
90,330138.16276642476,0.1984,2155.5501764953137,665.6011346097273
91,330178.73711266014,0.1984,2155.5501764953137,665.6829377271374
92,330604.1658877936,0.1988,2155.5501764953137,665.1995289492829
93,330999.7300543524,0.1992,2155.5501764953137,664.6580924786192
94,336285.12716482877,0.2116,2155.5501764953137,635.6996732794495
95,336318.81775706407,0.2116,2155.5501764953137,635.763360599365
96,339006.9101053214,0.2128,2155.5501764953137,637.231034032559
97,341536.4266583657,0.2176,2155.5501764953137,627.8243137102311
98,341810.7301415726,0.2176,2155.5501764953137,628.3285480543614
99,342030.2300472362,0.2176,2155.5501764953137,628.7320405280077
100,344043.578856969,0.2196,2155.5501764953137,626.6731855318197
101,345388.8797784588,0.22,2155.5501764953137,627.9797814153796
102,351291.6745441116,0.2216,2155.5501764953137,634.1004955669885
103,369305.54086844804,0.2248,2155.5501764953137,657.1272969189466
104,385963.08642970177,0.2384,2155.5501764953137,647.5890711907748
105,397388.60775159294,0.2532,2155.5501764953137,627.78611019209
106,425419.7316027033,0.2592,2155.5501764953137,656.5119314856532
107,437356.05658116686,0.26,2155.5501764953137,672.8554716633337
108,447430.0857390719,0.2604,2155.5501764953137,687.2965986775298
109,455580.30926078843,0.2612,2155.5501764953137,697.6727553763989
110,455925.9709454565,0.2612,2155.5501764953137,698.2020994570544
111,456544.30981943203,0.2612,2155.5501764953137,699.1490196315958
112,456549.94412605953,0.2612,2155.5501764953137,699.1576479725261
113,456632.949615245,0.2612,2155.5501764953137,699.2847620447856
